Over18,BusinessTravel,EducationField,Department,Gender,JobRole,MaritalStatus,OverTime,Age,EnvironmentSatisfaction,Education,HourlyRate,JobInvolvement,JobLevel,DistanceFromHome,JobSatisfaction,EmployeeCount,MonthlyIncome,MonthlyRate,NumCompaniesWorked,EmployeeNumber,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate,Attrition
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Single,Yes,41,2,2,94,3,2,1,4,1,5993,19479,8,1,11,3,1,80,0,8,0,1,6,4,0,5,1102,Yes
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Research Scientist,Married,No,49,3,1,61,2,2,8,2,1,5130,24907,1,2,23,4,4,80,1,10,3,3,10,7,1,7,279,No
Y,Travel_Rarely,Other,Research & Development,Male,Laboratory Technician,Single,Yes,37,4,2,92,2,1,2,3,1,2090,2396,6,4,15,3,2,80,0,7,3,3,0,0,0,0,1373,Yes
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Research Scientist,Married,Yes,33,4,4,56,3,1,3,3,1,2909,23159,1,5,11,3,3,80,0,8,3,3,8,7,3,0,1392,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Married,No,27,1,1,40,3,1,2,2,1,3468,16632,9,7,12,3,4,80,1,6,3,3,2,2,2,2,591,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Laboratory Technician,Single,No,32,4,2,79,3,1,2,4,1,3068,11864,0,8,13,3,3,80,0,8,2,2,7,7,3,6,1005,No
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Married,Yes,59,3,3,81,4,1,3,1,1,2670,9964,4,10,20,4,1,80,3,12,3,2,1,0,0,0,1324,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Divorced,No,30,4,1,67,3,1,24,3,1,2693,13335,1,11,22,4,2,80,1,1,2,3,1,0,0,0,1358,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Manufacturing Director,Single,No,38,4,3,44,2,3,23,3,1,9526,8787,0,12,21,4,2,80,0,10,2,3,9,7,1,8,216,No
Y,Travel_Rarely,Medical,Research & Development,Male,Healthcare Representative,Married,No,36,3,3,94,3,2,27,3,1,5237,16577,6,13,13,3,2,80,2,17,3,2,7,7,7,7,1299,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Married,No,35,1,3,84,4,1,16,2,1,2426,16479,0,14,13,3,3,80,1,6,5,3,5,4,0,3,809,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Single,Yes,29,4,2,49,2,2,15,3,1,4193,12682,0,15,12,3,4,80,0,10,3,3,9,5,0,8,153,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Divorced,No,31,1,1,31,3,1,26,3,1,2911,15170,1,16,17,3,4,80,1,5,1,2,5,2,4,3,670,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Divorced,No,34,2,2,93,3,1,19,4,1,2661,8758,0,18,11,3,3,80,1,3,2,3,2,2,1,2,1346,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Single,Yes,28,3,3,50,2,1,24,3,1,2028,12947,5,19,14,3,2,80,0,6,4,3,4,2,0,3,103,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manufacturing Director,Divorced,No,29,2,4,51,4,3,21,1,1,9980,10195,1,20,11,3,3,80,1,10,1,3,10,9,8,8,1389,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Divorced,Yes,32,1,2,80,4,1,5,2,1,3298,15053,0,21,12,3,4,80,2,7,5,2,6,2,0,5,334,No
Y,Non-Travel,Medical,Research & Development,Male,Laboratory Technician,Divorced,Yes,22,4,2,96,4,1,16,4,1,2935,7324,1,22,13,3,2,80,2,1,2,2,1,0,0,0,1123,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Manager,Married,No,53,1,4,78,2,4,2,4,1,15427,22021,2,23,16,3,3,80,0,31,3,3,25,8,3,7,1219,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Single,Yes,38,4,3,45,3,1,2,4,1,3944,4306,5,24,11,3,3,80,0,6,3,3,3,2,1,2,371,No
Y,Non-Travel,Other,Research & Development,Female,Manufacturing Director,Divorced,No,24,1,2,96,4,2,11,3,1,4011,8232,0,26,18,3,4,80,1,5,5,2,4,2,1,3,673,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Representative,Single,No,36,3,4,82,2,1,9,1,1,3407,6986,7,27,23,4,2,80,0,10,4,3,5,3,0,3,1218,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Director,Single,No,34,1,4,53,3,3,7,2,1,11994,21293,0,28,11,3,3,80,0,13,4,3,12,6,2,11,419,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Single,No,21,3,2,96,3,1,15,4,1,1232,19281,1,30,14,3,4,80,0,0,6,3,0,0,0,0,391,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Single,No,34,2,1,83,3,1,6,1,1,2960,17102,2,31,11,3,3,80,0,8,2,3,4,2,1,3,699,Yes
Y,Travel_Rarely,Other,Research & Development,Female,Manager,Divorced,No,53,3,3,58,3,5,5,3,1,19094,10735,4,32,11,3,4,80,1,26,3,2,14,13,4,8,1282,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Research Scientist,Single,Yes,32,2,1,72,1,1,16,1,1,3919,4681,1,33,22,4,2,80,0,10,5,3,10,2,6,7,1125,Yes
